127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/photo-1420655710207-b092e1b8abe3.jpg HTTP/1.1" 404 571 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/greece-2.jpg HTTP/1.1" 404 547 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/picjumbo.com_HNCK4183.jpg HTTP/1.1" 404 560 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/photo-1431274172761-fca41d930114.jpg HTTP/1.1" 404 571 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/picjumbo.com_IMG_6358.jpg HTTP/1.1" 404 560 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/picjumbo.com_HNCK8182.jpg HTTP/1.1" 404 560 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/picjumbo.com_HNCK8242.jpg HTTP/1.1" 404 560 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/offers/greece-2.jpg HTTP/1.1" 404 541 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/promo/thumbs/photo-1422226256160-9b266e308ea6.jpg HTTP/1.1" 404 571 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/offers/picjumbo.com_HNCK8248.jpg HTTP/1.1" 404 554 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/offers/photo-1431274172761-fca41d930114.jpg HTTP/1.1" 404 565 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/offers/picjumbo.com_HNCK8182.jpg HTTP/1.1" 404 555 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/offers/photo-1420655710207-b092e1b8abe3.jpg HTTP/1.1" 404 566 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
127.0.0.1 - - [21/Nov/2016:16:12:25 -0300] "GET /assets/img-temp/offers/picjumbo.com_HNCK8242.jpg HTTP/1.1" 404 554 "http://liceojorgealessandri.local/" "Mozilla/5.0 (X11; Linux x86_64; rv:52.0) Gecko/20100101 Firefox/52.0"
